source,target,weight
Monster's Ball,Little Miss Sunshine,1
Monster's Ball,The Queen,1
Monster's Ball,Dreamgirls,1
Monster's Ball,Happy Feet,1
Monster's Ball,Pan's Labyrinth,1
Monster's Ball,Marie Antoinette,2
Monster's Ball,The Departed,1
Monster's Ball,The Lives of Others,1
Monster's Ball,There Will Be Blood,1
Monster's Ball,No Country for Old Men,1
Monster's Ball,Michael Clayton,1
Monster's Ball,Elizabeth: The Golden Age,1
Monster's Ball,Once,2
Monster's Ball,Milk,1
Monster's Ball,The Dark Knight,1
Monster's Ball,The Reader,2
Monster's Ball,Vicky Cristina Barcelona,2
Monster's Ball,The Curious Case of Benjamin Button,2
Monster's Ball,Slumdog Millionaire,2
Monster's Ball,The Duchess,2
Monster's Ball,Crazy Heart,2
Monster's Ball,Inglourious Basterds,1
Monster's Ball,The Blind Side,1
Monster's Ball,The Young Victoria,2
Monster's Ball,The Hurt Locker,1
Monster's Ball,The Secret in Their Eyes,1
A Beautiful Mind,The Lord of the Rings: The Fellowship of the Ring,1
A Beautiful Mind,Black Hawk Down,1
A Beautiful Mind,The Pianist,2
A Beautiful Mind,The Hours,1
A Beautiful Mind,Road to Perdition,1
A Beautiful Mind,Nowhere in Africa,2
A Beautiful Mind,Frida,2
A Beautiful Mind,8 Mile,1
A Beautiful Mind,The Lord of the Rings: The Two Towers,1
A Beautiful Mind,Mystic River,1
A Beautiful Mind,Monster,2
A Beautiful Mind,Cold Mountain,1
A Beautiful Mind,The Lord of the Rings: The Return of the King,1
A Beautiful Mind,Master and Commander: The Far Side of the World,1
A Beautiful Mind,The Barbarian Invasions,1
A Beautiful Mind,Ray,2
A Beautiful Mind,Million Dollar Baby,1
A Beautiful Mind,The Aviator,2
A Beautiful Mind,The Sea Inside,2
A Beautiful Mind,Sideways,1
A Beautiful Mind,Capote,2
A Beautiful Mind,Syriana,1
A Beautiful Mind,Walk the Line,2
A Beautiful Mind,The Constant Gardener,1
A Beautiful Mind,Memoirs of a Geisha,1
A Beautiful Mind,Brokeback Mountain,1
A Beautiful Mind,Crash,1
A Beautiful Mind,Tsotsi,1
A Beautiful Mind,Hustle & Flow,1
A Beautiful Mind,King Kong,1
A Beautiful Mind,The Last King of Scotland,2
A Beautiful Mind,Little Miss Sunshine,1
A Beautiful Mind,The Queen,2
A Beautiful Mind,Dreamgirls,1
A Beautiful Mind,Pan's Labyrinth,1
A Beautiful Mind,Marie Antoinette,2
A Beautiful Mind,The Departed,1
A Beautiful Mind,The Lives of Others,1
A Beautiful Mind,There Will Be Blood,1
A Beautiful Mind,No Country for Old Men,1
A Beautiful Mind,Michael Clayton,1
A Beautiful Mind,Elizabeth: The Golden Age,2
A Beautiful Mind,Once,1
A Beautiful Mind,Milk,2
A Beautiful Mind,The Dark Knight,1
A Beautiful Mind,The Reader,1
A Beautiful Mind,Vicky Cristina Barcelona,1
A Beautiful Mind,The Curious Case of Benjamin Button,1
A Beautiful Mind,Slumdog Millionaire,1
A Beautiful Mind,The Duchess,2
A Beautiful Mind,Crazy Heart,1
A Beautiful Mind,Inglourious Basterds,1
A Beautiful Mind,The Blind Side,2
A Beautiful Mind,The Young Victoria,2
A Beautiful Mind,The Hurt Locker,1
A Beautiful Mind,The Secret in Their Eyes,1
Shrek,The Lord of the Rings: The Fellowship of the Ring,2
Shrek,"Monsters, Inc.",5
Shrek,Chicago,1
Shrek,Spirited Away,4
Shrek,The Lord of the Rings: The Two Towers,2
Shrek,Cold Mountain,1
Shrek,Finding Nemo,4
Shrek,The Lord of the Rings: The Return of the King,2
Shrek,Master and Commander: The Far Side of the World,1
Shrek,The Barbarian Invasions,1
Shrek,The Incredibles,3
Shrek,Spider-Man 2,2
Shrek,Sideways,2
Shrek,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3
Shrek,King Kong,1
Shrek,Little Miss Sunshine,1
Shrek,Happy Feet,3
Shrek,Pan's Labyrinth,1
Shrek,Pirates of the Caribbean: Dead Man's Chest,2
Shrek,Ratatouille,4
Shrek,The Golden Compass,3
Shrek,The Curious Case of Benjamin Button,1
Shrek,Inglourious Basterds,1
Shrek,Up,4
Shrek,Avatar,2
Shrek,Star Trek,1
The Lord of the Rings: The Fellowship of the Ring,Black Hawk Down,1
The Lord of the Rings: The Fellowship of the Ring,"Monsters, Inc.",2
The Lord of the Rings: The Fellowship of the Ring,The Pianist,1
The Lord of the Rings: The Fellowship of the Ring,The Hours,1
The Lord of the Rings: The Fellowship of the Ring,Spirited Away,2
The Lord of the Rings: The Fellowship of the Ring,Road to Perdition,1
The Lord of the Rings: The Fellowship of the Ring,Nowhere in Africa,1
The Lord of the Rings: The Fellowship of the Ring,Frida,1
The Lord of the Rings: The Fellowship of the Ring,8 Mile,1
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Two Towers,4
The Lord of the Rings: The Fellowship of the Ring,Mystic River,1
The Lord of the Rings: The Fellowship of the Ring,Monster,1
The Lord of the Rings: The Fellowship of the Ring,Cold Mountain,2
The Lord of the Rings: The Fellowship of the Ring,Finding Nemo,1
The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,4
The Lord of the Rings: The Fellowship of the Ring,Master and Commander: The Far Side of the World,3
The Lord of the Rings: The Fellowship of the Ring,The Barbarian Invasions,1
The Lord of the Rings: The Fellowship of the Ring,Ray,1
The Lord of the Rings: The Fellowship of the Ring,Million Dollar Baby,1
The Lord of the Rings: The Fellowship of the Ring,The Aviator,1
The Lord of the Rings: The Fellowship of the Ring,The Incredibles,2
The Lord of the Rings: The Fellowship of the Ring,The Sea Inside,1
The Lord of the Rings: The Fellowship of the Ring,Spider-Man 2,3
The Lord of the Rings: The Fellowship of the Ring,Sideways,2
The Lord of the Rings: The Fellowship of the Ring,Capote,1
The Lord of the Rings: The Fellowship of the Ring,Syriana,1
The Lord of the Rings: The Fellowship of the Ring,Walk the Line,1
The Lord of the Rings: The Fellowship of the Ring,The Constant Gardener,1
The Lord of the Rings: The Fellowship of the Ring,Memoirs of a Geisha,1
The Lord of the Rings: The Fellowship of the Ring,Brokeback Mountain,1
The Lord of the Rings: The Fellowship of the Ring,Crash,1
The Lord of the Rings: The Fellowship of the Ring,Tsotsi,1
The Lord of the Rings: The Fellowship of the Ring,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2
The Lord of the Rings: The Fellowship of the Ring,Hustle & Flow,1
The Lord of the Rings: The Fellowship of the Ring,King Kong,3
The Lord of the Rings: The Fellowship of the Ring,The Last King of Scotland,1
The Lord of the Rings: The Fellowship of the Ring,Little Miss Sunshine,1
The Lord of the Rings: The Fellowship of the Ring,The Queen,1
The Lord of the Rings: The Fellowship of the Ring,Dreamgirls,1
The Lord of the Rings: The Fellowship of the Ring,Pan's Labyrinth,2
The Lord of the Rings: The Fellowship of the Ring,Marie Antoinette,1
The Lord of the Rings: The Fellowship of the Ring,The Departed,1
The Lord of the Rings: The Fellowship of the Ring,The Lives of Others,1
The Lord of the Rings: The Fellowship of the Ring,Pirates of the Caribbean: Dead Man's Chest,3
The Lord of the Rings: The Fellowship of the Ring,There Will Be Blood,1
The Lord of the Rings: The Fellowship of the Ring,No Country for Old Men,1
The Lord of the Rings: The Fellowship of the Ring,Michael Clayton,1
The Lord of the Rings: The Fellowship of the Ring,Ratatouille,1
The Lord of the Rings: The Fellowship of the Ring,Elizabeth: The Golden Age,1
The Lord of the Rings: The Fellowship of the Ring,The Bourne Ultimatum,1
The Lord of the Rings: The Fellowship of the Ring,Once,1
The Lord of the Rings: The Fellowship of the Ring,The Golden Compass,2
The Lord of the Rings: The Fellowship of the Ring,Milk,1
